task	file	body_len
15	task_15_099.txt	56
14	task_14_329.txt	56
26	task_26_002.txt	57
15	task_15_095.txt	57
15	task_15_081.txt	57
15	task_15_097.txt	57
15	task_15_083.txt	57
15	task_15_087.txt	57
15	task_15_093.txt	57
15	task_15_079.txt	57
15	task_15_085.txt	57
15	task_15_103.txt	57
15	task_15_117.txt	57
15	task_15_077.txt	57
15	task_15_062.txt	57
15	task_15_075.txt	57
15	task_15_101.txt	57
15	task_15_058.txt	57
15	task_15_064.txt	57
15	task_15_073.txt	57
5	task_5_027.txt	57
5	task_5_019.txt	57
15	task_15_123.txt	58
15	task_15_109.txt	58
15	task_15_121.txt	58
15	task_15_119.txt	58
15	task_15_127.txt	58
15	task_15_111.txt	58
15	task_15_113.txt	58
15	task_15_107.txt	58
15	task_15_089.txt	59
12	task_12_248.txt	59
16	task_16_269.txt	63
16	task_16_271.txt	64
16	task_16_273.txt	64
2	task_2_041.txt	64
2	task_2_040.txt	64
6	task_6_080.txt	65
6	task_6_071.txt	65
24	task_24_083.txt	65
24	task_24_079.txt	65
24	task_24_085.txt	65
22	task_22_003.txt	65
2	task_2_043.txt	66
1	task_1_013.txt	67
2	task_2_045.txt	69
15	task_15_169.txt	70
15	task_15_181.txt	70
15	task_15_190.txt	70
15	task_15_179.txt	70
15	task_15_175.txt	70
15	task_15_188.txt	70
15	task_15_177.txt	70
15	task_15_214.txt	70
15	task_15_167.txt	70
15	task_15_173.txt	70
15	task_15_171.txt	70
2	task_2_055.txt	70
4	task_4_036.txt	71
4	task_4_049.txt	71
15	task_15_248.txt	72
16	task_16_205.txt	74
1	task_1_030.txt	74
4	task_4_004.txt	74
4	task_4_006.txt	74
15	task_15_157.txt	74
15	task_15_153.txt	74
15	task_15_161.txt	74
15	task_15_149.txt	74
15	task_15_163.txt	74
1	task_1_014.txt	81
16	task_16_203.txt	82
1	task_1_031.txt	83
26	task_26_003.txt	83
4	task_4_046.txt	83
12	task_12_244.txt	83
22	task_22_092.txt	83
6	task_6_065.txt	84
6	task_6_063.txt	84
12	task_12_239.txt	84
12	task_12_266.txt	84
12	task_12_241.txt	84
16	task_16_215.txt	85
15	task_15_155.txt	85
15	task_15_151.txt	85
15	task_15_165.txt	85
15	task_15_159.txt	85
15	task_15_458.txt	85
12	task_12_246.txt	85
24	task_24_140.txt	86
24	task_24_142.txt	86
16	task_16_041.txt	87
16	task_16_043.txt	87
16	task_16_039.txt	87
1	task_1_064.txt	87
24	task_24_244.txt	87
16	task_16_235.txt	88
16	task_16_237.txt	88
16	task_16_233.txt	88
16	task_16_239.txt	88
